"name","product_url","price","availability","score","region","processing","drying","arrival","packaging","farm","cultivar","grade","roast","weight","type","flavor_floral","flavor_honey","flavor_sugars","flavor_caramel","flavor_fruits","flavor_citrus","flavor_berry","flavor_cocoa","flavor_nuts","flavor_rustic","flavor_spice","flavor_body","cup_dry_fragrance","cup_wet_aroma","cup_brightness","cup_flavor","cup_body","cup_finish","cup_sweetness","cup_clean_cup","cup_complexity","cup_uniformity","short_desc","product_img","cupping_thumb","flavor_thumb"
"Burundi Gatara Masha","https://www.sweetmarias.com/burundi-gatara-masha-7510.html","$7.35","In stock","89","Gatara Commune, Kayanza Province","Wet Process (Washed)","Raised Bed Sun-Dried","January 2023 Arrival","GrainPro Liner","Yes","Bourbon","A1","City to Full City+","","Farm Gate","0","1","3","3","1.5","1.5","1","3.5","0","0","2","4","8.8","8.9","8.7","9","9","8.8","9","9","8.8","8.5","Abundant sweetness at all roast levels, with hints of dried currant, jamaica tea, ginger powder, and candied lemon accenting aroma. Dark roasts are low toned with mild hints of fruit. City to Full City+. Good for espresso.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/b/u/burundi-sweet-marias-coffee-kayanza-cws-masha-8.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-02-15t092254.259.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-02-15t092258.435.png"
"Burundi Kabarore Commune Yandaro","https://www.sweetmarias.com/burundi-kabarore-commune-yandaro-7511.html","$7.45","In stock","89.2","Kabarore Commune","Wet Process (Washed)","Raised Bed Sun-Dried","January 2023 Arrival","GrainPro Liner","Yes","Bourbon","A1","City to Full City","","Farm Gate","0","0","4","3","2","2","2","3.5","0","0","2.5","4","8.7","9","8.8","9","9","8.8","9","9","8.9","8.5","Yandaro has caramel sugar sweetness at light roast levels accented by hints of apple, mild yellow tea, and zesty orange and lemon accents. Milky dark chocolate and a grape hint when roasted dark. City to Full City. Good for espresso.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/b/u/burundi-sweet-marias-kabarore-kayanza-yandaro-1.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_4__2_18.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_5__1_19.png"
"Burundi Kayanza Gakenke","https://www.sweetmarias.com/burundi-kayanza-gakenke-7508.html","$7.20","In stock","88.8","Kayanza Province","Wet Process (Washed)","Raised Bed Sun-Dried","January 2023 Arrival","GrainPro Liner","","Bourbon","A1","City to Full City","","Farm Gate","0","2","4","1","2.5","2.5","1","3","0","0","2.5","3.5","8.8","9","8.9","9","8.5","9","9","9","9.1","8.5","Gakenke treads familiar territory for Burundi coffee, substantial sweetness is accented by notes of black teas and spices, tangy lemon, Darjeeling tea, and aromatic accents of clove and bergamot citrus in the aftertaste. City to Full City.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/b/u/burundi-gatara-kayanza-gakenke-1_2.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-03-10t142655.402.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-03-10t142659.711.png"
"Burundi Kayanza Kibingo Station","https://www.sweetmarias.com/burundi-kayanza-kibingo-station-7509.html","$7.35","In stock","89.4","Kayanza Province","Wet Process (Washed)","Raised Bed Sun-Dried","January 2023 Arrival","GrainPro liner","Yes","Bourbon","A1","City to Full City","","Farm Gate","0","0","4","0","2","2","2","3","0","0","3","3.5","9","9","8.7","9","8.7","9","9","9","9","8.5","Pour over brews highlight Kibingo's bright cup characteristics and clean raw sugar sweetness, along with flavor profiles of orange spice tea and tart jamaica, raw sugars, a spiced mixture of clove and mace, and cranberry-like acidity. City to Full City. Good for espresso.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/b/u/burundi-sweet-marias-kayanza-station-kibingo-3.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-02-24t094546.149.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-02-24t094548.859.png"
"Burundi Kayanza Munkaze","https://www.sweetmarias.com/burundi-kayanza-munkaze-7512.html","$7.35","In stock","89.7","Buyenzi, Kayanza Province","Wet Process (Washed)","Raised Bed Sun-Dried","January 2023 Arrival","GrainPro Liner","Yes","Bourbon A1","Grade 1","City to Full City","","Farm Gate","0","2","4","2","2","2","2","3","0","0","2.5","4","8.8","8.9","8.7","9","9","9","9.3","9","9","8.5","Impressive cup sweetness that deserves a high score on its own. Add in hints of honey glaze, cardamom and ginger powders, and a lemony citrus accent note, and we have ourselves a top-notch Burundi! City to Full City.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/b/u/burundi-sweet-marias-green-coffee-belt-munkaze-cws-1.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_2__2_46.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_3__4_8.png"
"Congo Organic Kivu Kalehe","https://www.sweetmarias.com/congo-organic-kivu-kalehe-7458.html","$7.35","In stock","87.5","Kalehe, South Kivu","Wet Process (Washed)","Raised Bed Sun Dried","December 2022 Arrival","GrainPro Liner","","Bourbon","K3","City to Full City+","","Organic/Fair Trade Cert.","0","0","3.5","1","1","0","0","3","0","2","2.5","3.5","8.3","8.7","8.3","8.7","8.7","8.2","8.6","8","9","8.5","We're pleased to broaden our origin representation with this fine example from Congo. Molasses, hints of malted grain, fruity tobacco, black tea, clove oil bittering, dark cocoa and a dried prune note. City to Full City+.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/c/o/congo-sweet-marias-kivu-kalehe-coffee-4.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-01-18t103406.420.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-01-18t103410.714.png"
"East Africa Sample Set: Rwanda & Burundi","https://www.sweetmarias.com/east-africa-sample-set.html","$7.20","In stock","","Burundi & Rwanda","","","New Crop Arrivals","","Yes","","","","","Sample Sets","0","0","4","3","2","2","2","3.5","0","0","2.5","4","","","","","","","","","","","High caliber coffees in their own right, the East Africa Sample Set emphasizes flavor diversity found in the coffees from these two neighboring countries. Every coffee included in this set scores above 88 points, and two are fit for espresso too!Includes wet and dry process coffees from:Rwanda Dry Process MacubaRwanda Kivu KageyoBurundi Kayanza GakenkeBurundi Gatara Masha","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/e/a/east-africa-sample-set-2.jpg","",""
"Ethiopia Dry Process Buno Bobea","https://www.sweetmarias.com/ethiopia-dry-process-buno-bobea-7391.html","$7.95","In stock","90.5","Odo Shakiso, Guji Zone","Dry Process (Natural)","Raised Bed Sun-Dried","September 2022 Arrival","GrainPro Liner","Yes","Heirloom Cultivars","Grade 1","City to Full City","","Farm Gate","0","2.5","3","0","3.5","1.5","3","3","0","2","0","4.5","8.8","9.2","8.6","9.2","9.5","8.5","9","8","9.5","8.2","Buno Bobea offers exotic fruit flavors, with syrupy sweetness, and flavor profiles of mixed fruit juice, berry, mango, stone fruit accents of dried apricot and peach along with moderate brightness when roasted light. City to Full City.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/e/t/ethiopia-sweet-marias-shakiso-guji-cherry-natural-process-coffee-1.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_6__1_26.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_7__1_28.png"
"Ethiopia Dry Process Idido Desalegn Hijo","https://www.sweetmarias.com/ethiopia-dry-process-idido-desalegn-hijo-7369.html","$8.30","In stock","91.7","Kebele Tulse, Yirga Cheffe, Gedeo","Dry Process (Natural)","Raised Bed Sun Dried","July 2022 Arrival","GrainPro Liner","Yes","Heirloom Cultivars","Grade 1","City to Full City","","Farm Gate","2","3","3","0","3","2","3","3","0","1.5","2","3.5","9.1","9.5","8.8","9.3","9","9.2","9","8.5","9.6","8.2","Fruit and honey cup flavors are a big part of the cup profile that is on the more refined end of the dry process spectrum. Aromatic stone fruits, dried blueberry, and a glazed orange peel note that adds to the acidic impression. City to Full City.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/e/t/ethiopia-sweet-marias-green-coffee-yirgacheffe-idido-1.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_77__5.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_78__3.png"
"Ethiopia Dry Process Kafa Dehab Mesfin Farm","https://www.sweetmarias.com/ethiopia-dry-process-kafa-dehab-mesfin-farm-7465.html","$7.75","In stock","90.3","Kebele Tula, Gimbo District, Kafa","Dry Process (Natural)","Raised Bed Sun Dried","December 2022 Arrival","GrainPro Liner","Yes","Heirloom Cultivar","Grade 1","City to Full City+","","Farm Gate","1","0","3.5","1","3","0","3","3.5","1","1","1.5","4","8.8","9","8.5","9","9.3","8.8","8.8","8.3","9.3","8.5","Delicious fruits and bittersweetness, notes of berry, cinnamon streusel, and floral accents. Also a syrupy textured espresso shot of inky dark chocolates with fruits underneath. City to Full City+. Good for espresso.","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/e/t/ethiopia-green-coffee-sweet-marias-kafa-dehab-mesfin-1.jpg","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-02-22t102013.073.png","https://www.sweetmarias.com/media/catalog/product/cache/072aa1a8d2f4bee4fd77b213766960c8/d/o/download_-_2023-02-22t102016.735.png"
